tradeId,permissionProd,permissionReplay,cclistStressProd,cclistStressReplay,match
1,ALLOW,ALLOW,0.12,0.12,true
2,ALLOW,ALLOW,0.12,0.12,true
3,ALLOW,ALLOW,0.12,0.12,true
4,ALLOW,ALLOW,0.12,0.12,true
5,ALLOW,ALLOW,0.12,0.12,true
6,ALLOW,ALLOW,0.12,0.12,true
7,ALLOW,ALLOW,0.12,0.12,true
8,ALLOW,ALLOW,0.12,0.12,true
9,ALLOW,ALLOW,0.12,0.12,true
10,ALLOW,ALLOW,0.12,0.12,true
11,ALLOW,ALLOW,0.12,0.12,true
12,ALLOW,ALLOW,0.12,0.12,true
13,ALLOW,ALLOW,0.12,0.12,true
14,ALLOW,ALLOW,0.12,0.12,true
15,ALLOW,ALLOW,0.12,0.12,true
16,ALLOW,ALLOW,0.12,0.12,true
17,ALLOW,ALLOW,0.12,0.12,true
18,ALLOW,ALLOW,0.12,0.12,true
19,ALLOW,ALLOW,0.12,0.12,true
20,ALLOW,ALLOW,0.12,0.12,true
21,ALLOW,ALLOW,0.12,0.12,true
22,ALLOW,ALLOW,0.12,0.12,true
23,ALLOW,ALLOW,0.12,0.12,true
24,ALLOW,ALLOW,0.12,0.12,true
25,ALLOW,ALLOW,0.12,0.12,true
26,ALLOW,ALLOW,0.12,0.12,true
27,ALLOW,ALLOW,0.12,0.12,true
28,ALLOW,ALLOW,0.12,0.12,true
29,ALLOW,ALLOW,0.12,0.12,true
30,ALLOW,ALLOW,0.12,0.12,true
31,ALLOW,ALLOW,0.12,0.12,true
32,ALLOW,ALLOW,0.12,0.12,true
33,ALLOW,ALLOW,0.12,0.12,true
34,ALLOW,ALLOW,0.12,0.12,true
35,ALLOW,ALLOW,0.12,0.12,true
36,ALLOW,ALLOW,0.12,0.12,true
37,ALLOW,ALLOW,0.12,0.12,true
38,ALLOW,ALLOW,0.12,0.12,true
39,ALLOW,ALLOW,0.12,0.12,true
40,ALLOW,ALLOW,0.12,0.12,true
41,ALLOW,ALLOW,0.12,0.12,true
42,ALLOW,ALLOW,0.12,0.12,true
43,ALLOW,ALLOW,0.12,0.12,true
44,ALLOW,ALLOW,0.12,0.12,true
45,ALLOW,ALLOW,0.12,0.12,true
46,ALLOW,ALLOW,0.12,0.12,true
47,ALLOW,ALLOW,0.12,0.12,true
48,ALLOW,ALLOW,0.12,0.12,true
49,ALLOW,ALLOW,0.12,0.12,true
50,ALLOW,ALLOW,0.12,0.12,true
