tradeIndex,prodEquity,replayEquity,diffPnl
0,6.00,6.00,0.00
1,12.00,12.00,0.00
2,9.00,9.00,0.00
3,6.00,6.00,0.00
4,3.00,3.00,0.00
5,-0.00,-0.00,0.00
6,-3.00,-3.00,0.00
7,-6.00,-6.00,0.00
8,-9.00,-9.00,0.00
9,-3.00,-3.00,0.00
10,-6.00,-6.00,0.00
11,-9.00,-9.00,0.00
12,-12.00,-12.00,0.00
13,-15.00,-15.00,0.00
14,-9.00,-9.00,0.00
15,-12.00,-12.00,0.00
16,-15.00,-15.00,0.00
17,-9.00,-9.00,0.00
18,-12.00,-12.00,0.00
19,-15.00,-15.00,0.00
20,-18.00,-18.00,0.00
21,-21.07,-21.07,0.00
22,-14.95,-14.95,0.00
23,-18.16,-18.16,0.00
24,-21.16,-21.16,0.00
25,-15.16,-15.16,0.00
26,-18.16,-18.16,0.00
27,-12.16,-12.16,0.00
28,-15.16,-15.16,0.00
29,-18.16,-18.16,0.00
30,-21.16,-21.16,0.00
31,-15.16,-15.16,0.00
32,-18.16,-18.16,0.00
33,-21.16,-21.16,0.00
34,-24.16,-24.16,0.00
35,-27.16,-27.16,0.00
36,-30.16,-30.16,0.00
37,-24.16,-24.16,0.00
38,-27.16,-27.16,0.00
39,-30.16,-30.16,0.00
40,-24.16,-24.16,0.00
41,-18.16,-18.16,0.00
42,-12.16,-12.16,0.00
43,-15.16,-15.16,0.00
44,-9.16,-9.16,0.00
45,-12.16,-12.16,0.00
46,-15.16,-15.16,0.00
47,-18.16,-18.16,0.00
48,-21.16,-21.16,0.00
49,-24.16,-24.16,0.00
