tradeId,prodEntry,replayEntry,prodExit,replayExit,slippageDiff
1,95337.72115500038,95338.67453221194,95051.70799153538,95052.6585086153,0.00001
2,95117.47107342262,95118.42224813337,94832.11866020235,94833.06698138895,0.00001
3,94763.68307997414,94764.63071680495,94905.8286045941,94906.77766288015,0.00001
4,94878.53948619823,94879.4882715931,95020.85729542754,95021.8075040005,0.00001
5,95221.33761747635,95222.28983085253,95364.16962390258,95365.12326559883,0.00001
6,95181.11846020547,95182.07027139008,95323.89013789578,95324.84337679717,0.00001
7,95120.00467647529,95120.95587652206,95262.68468349,95263.63731033685,0.00001
8,95200.94465747106,95201.89666691764,95343.74607445727,95344.69951191802,0.00001
9,95292.13912944675,95293.09205083805,95435.07733814092,95436.03168891431,0.00001
10,95046.66162542191,95047.61209203817,94761.52164054564,94762.46925576206,0.00001
11,94785.29561902124,94786.24347197743,94927.47356244978,94928.42283718541,0.00001
12,95280.40451636267,95281.35732040784,95423.32512313723,95424.27935638846,0.00001
13,97130.23346322746,97131.2047655621,96984.53811303263,96985.50795841377,0.00001
14,97046.30671618064,97047.2771792478,96900.73725610637,96901.70626347893,0.00001
15,97102.63979863217,97103.61082503016,97393.94771802805,97394.92165750524,0.00001
16,97182.5276797639,97183.4995050407,97328.30147128354,97329.27475429827,0.00001
17,97297.76157645883,97298.7345540746,97443.70821882352,97444.68265590572,0.00001
18,97812.66364829999,97813.64177493648,98106.10163924488,98107.08270026128,0.00001
19,98536.20369662919,98537.18905866616,98684.00800217415,98684.99484225418,0.00001
20,98290.71447891509,98291.69738605988,98143.27840719672,98144.25983998079,0.00001
21,98131.51390327212,98132.49521841116,98278.71117412703,98279.69396123878,0.00001
22,98253.93991090509,98254.9224503042,98103.06359486106,98104.04462549702,0.00001
23,98472.93629222951,98473.92102159244,98774.47708016454,98775.46482493535,0.00001
24,99035.98669388749,99036.97705375444,98876.98176991411,98877.97053973182,0.00001
25,99404.39297265056,99405.3870165803,99553.49956210954,99554.49509710517,0.00001
26,101435.00009688336,101436.01444688434,101130.69509659271,101131.70640354368,0.00001
27,100950.45193815268,100951.46144267207,101101.87761605991,101102.88863483607,0.00001
28,101019.26488375106,101020.2750763999,100716.20708909981,100717.2142511707,0.00001
29,100735.6193544602,100736.62671065376,100886.72278349189,100887.73165071972,0.00001
30,101228.92221173614,101229.93450095826,101380.76559505374,101381.7794027097,0.00001
31,101375.2502650001,101376.26401750275,101527.3131403976,101528.32841352902,0.00001
32,101302.38344176496,101303.39646559939,100998.47629143967,100999.48627620259,0.00001
33,100849.37973855207,100850.38823234946,100698.10566894425,100699.11265000094,0.00001
34,100681.65340634318,100682.66022287724,100530.63092623367,100531.63623254294,0.00001
35,100753.50285304073,100754.51038806926,100602.37259876117,100603.37862248716,0.00001
36,100784.46599593599,100785.47384059595,100935.64269492989,100936.65205135685,0.00001
37,100953.43718907223,100954.44672344413,100802.00703328862,100803.01505335896,0.00001
38,100874.90759011245,100875.91633918835,101177.53231288277,101178.5440882059,0.00001
39,101163.34609296882,101164.35772642975,101011.60107382937,101012.61118984011,0.00001
40,101303.4829956763,101304.49603050626,101151.5277711828,101152.53928646051,0.00001
41,101271.2114989207,101272.2242110357,101575.02513341745,101576.0408836688,0.00001
42,101590.6073639332,101591.62327000685,101895.37918602499,101896.39813981685,0.00001
43,101863.59876532329,101864.61740131094,102169.18956161925,102170.21125351488,0.00001
44,102280.49909763818,102281.52190262916,102127.07834899172,102128.09961977522,0.00001
45,102167.51358115302,102168.53525628884,102474.01612189646,102475.04086205769,0.00001
46,102130.60485417524,102131.6261602238,102283.80076145651,102284.82359946413,0.00001
47,104561.68525700341,104562.73087385598,104404.84272911791,104405.88677754521,0.00001
48,104515.07119701599,104516.11634772796,104671.84380381151,104672.89052224955,0.00001
49,104444.78756977485,104445.83201765055,104601.45475112952,104602.50076567705,0.00001
50,104406.595368886,104407.6394348397,104563.20526193934,104564.25089399196,0.00001
