tradeId,trgProd,trgReplay,eefProd,eefReplay,match
1,0.45,0.45,true,true,true
2,0.45,0.45,true,true,true
3,0.45,0.45,true,true,true
4,0.45,0.45,true,true,true
5,0.45,0.45,true,true,true
6,0.45,0.45,true,true,true
7,0.45,0.45,true,true,true
8,0.45,0.45,true,true,true
9,0.45,0.45,true,true,true
10,0.45,0.45,true,true,true
11,0.45,0.45,true,true,true
12,0.45,0.45,true,true,true
13,0.45,0.45,true,true,true
14,0.45,0.45,true,true,true
15,0.45,0.45,true,true,true
16,0.45,0.45,true,true,true
17,0.45,0.45,true,true,true
18,0.45,0.45,true,true,true
19,0.45,0.45,true,true,true
20,0.45,0.45,true,true,true
21,0.45,0.45,true,true,true
22,0.45,0.45,true,true,true
23,0.45,0.45,true,true,true
24,0.45,0.45,true,true,true
25,0.45,0.45,true,true,true
26,0.45,0.45,true,true,true
27,0.45,0.45,true,true,true
28,0.45,0.45,true,true,true
29,0.45,0.45,true,true,true
30,0.45,0.45,true,true,true
31,0.45,0.45,true,true,true
32,0.45,0.45,true,true,true
33,0.45,0.45,true,true,true
34,0.45,0.45,true,true,true
35,0.45,0.45,true,true,true
36,0.45,0.45,true,true,true
37,0.45,0.45,true,true,true
38,0.45,0.45,true,true,true
39,0.45,0.45,true,true,true
40,0.45,0.45,true,true,true
41,0.45,0.45,true,true,true
42,0.45,0.45,true,true,true
43,0.45,0.45,true,true,true
44,0.45,0.45,true,true,true
45,0.45,0.45,true,true,true
46,0.45,0.45,true,true,true
47,0.45,0.45,true,true,true
48,0.45,0.45,true,true,true
49,0.45,0.45,true,true,true
50,0.45,0.45,true,true,true
