traceId,timestamp,symbol,prodStatus,replayStatus,divergenceMs
trace_1,2026-07-24T09:15:04.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_2,2026-07-24T09:16:04.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_3,2026-07-24T09:17:04.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_4,2026-07-24T09:18:04.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_5,2026-07-24T09:21:05.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_6,2026-07-24T09:22:05.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_7,2026-07-24T09:23:05.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_8,2026-07-24T09:24:06.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_9,2026-07-24T09:26:06.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_10,2026-07-24T09:27:06.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_11,2026-07-24T09:28:07.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_12,2026-07-24T09:29:07.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_13,2026-07-24T09:42:10.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_14,2026-07-24T09:48:11.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_15,2026-07-24T09:49:11.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_16,2026-07-24T09:55:12.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_17,2026-07-24T09:56:13.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_18,2026-07-24T10:03:14.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_19,2026-07-24T10:05:15.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_20,2026-07-24T10:08:15.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_21,2026-07-24T10:09:15.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_22,2026-07-24T10:10:16.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_23,2026-07-24T10:11:16.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_24,2026-07-24T10:17:17.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_25,2026-07-24T10:26:19.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_26,2026-07-24T10:46:23.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_27,2026-07-24T10:47:24.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_28,2026-07-24T10:48:24.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_29,2026-07-24T10:50:24.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_30,2026-07-24T10:51:25.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_31,2026-07-24T10:55:25.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_32,2026-07-24T10:59:26.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_33,2026-07-24T11:00:26.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_34,2026-07-24T11:01:27.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_35,2026-07-24T11:02:27.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_36,2026-07-24T11:03:27.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_37,2026-07-24T11:04:27.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_38,2026-07-24T11:05:28.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_39,2026-07-24T11:06:28.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_40,2026-07-24T11:07:28.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_41,2026-07-24T11:08:28.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_42,2026-07-24T11:09:28.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_43,2026-07-24T11:11:29.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_44,2026-07-24T11:13:29.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_45,2026-07-24T11:14:29.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_46,2026-07-24T11:15:30.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_47,2026-07-24T11:30:33.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_48,2026-07-24T11:32:33.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_49,2026-07-24T11:34:34.000Z,BTC/USD,EXECUTED,EXECUTED,15
trace_50,2026-07-24T11:36:34.000Z,BTC/USD,EXECUTED,EXECUTED,15
