trade_id,timestamp,year,timeframe,direction,trend_state,vol_state,entry_price,stop_price,target_price,exit_price,exit_reason,holding_hours,mfe_pct,mae_pct,gross_pnl,fees,slippage,net_pnl,r_multiple,is_tp_hit,is_sl_hit
1,1673010000000,2023,1h,LONG,BEAR,LOW,16777.54,16731.24,16881.57,16727.89,STOP_LOSS,1,0.103,0.323,-2.96,2,0.4,-4.96,-1.156,false,true
2,1674054000000,2023,1h,LONG,BEAR,LOW,21046.94,20918.45,21353.43,20914.27,STOP_LOSS,1,0,3.02,-6.3,2,0.4,-8.3,-1.068,false,true
3,1674057600000,2023,1h,LONG,BEAR,LOW,20854.06,20723.32,21166.32,20719.17,STOP_LOSS,4,1.376,0.878,-6.47,2,0.4,-8.47,-1.066,false,true
4,1674608400000,2023,1h,LONG,BEAR,MEDIUM,22496.08,22304.49,22959.29,22707.91,TIME_EXIT,6,1.247,0.046,9.42,2,0.4,7.42,1.132,false,false
5,1675429200000,2023,1h,LONG,BEAR,MEDIUM,23351.3,23183.65,23754.08,23303.33,TIME_EXIT,6,1.581,0.512,-2.05,2,0.4,-4.05,-0.294,false,false
6,1675659600000,2023,1h,LONG,BEAR,MEDIUM,22778.46,22622.99,23151.2,22873.65,TIME_EXIT,6,0.729,0.237,4.18,2,0.4,2.18,0.631,false,false
7,1675872000000,2023,1h,LONG,BEAR,LOW,22969.6,22827.91,23307.77,22823.34,STOP_LOSS,3,0.339,0.624,-6.37,2,0.4,-8.37,-1.067,false,true
8,1676041200000,2023,1h,LONG,BEAR,MEDIUM,21657.08,21511.03,22007.06,21506.73,STOP_LOSS,6,0.675,0.932,-6.94,2,0.4,-8.94,-1.061,false,true
9,1676854800000,2023,1h,LONG,BEAR,MEDIUM,24241.82,24076.9,24637.15,24498.75,TIME_EXIT,6,1.312,0.342,10.6,2,0.4,8.6,1.605,false,false
10,1677031200000,2023,1h,LONG,BEAR,MEDIUM,24177.06,24000.74,24600.95,23995.94,STOP_LOSS,3,0.408,0.742,-7.49,2,0.4,-9.49,-1.056,false,true
