trade_id,timestamp,date_utc,year,funding_rate,raw_entry_price,executed_entry_price,stop_price,target_price,raw_exit_price,executed_exit_price,exit_reason,holding_hours,fwd_price_ret_6h_pct,true_gross_pnl,exact_taker_fees,exact_slippage_cost,total_friction_cost,true_net_pnl,is_net_win
1,1678410000000,2023-03-10T01:00:00.000Z,2023,-0.00008895,20111.87,20115.89,19978.6,20445.05,19978.6,19974.6,STOP_LOSS,2,-0.787,-6.63,1.99,0.4,2.39,-9.02,false
2,1680246000000,2023-03-31T07:00:00.000Z,2023,-0.00002712,27738.48,27744.03,27490.08,28359.48,28359.48,28353.81,TAKE_PROFIT,6,2.28,22.39,2.02,0.4,2.42,19.97,true
3,1688947200000,2023-07-10T00:00:00.000Z,2023,-0.00002182,30090.26,30096.28,29940.85,30463.78,30089.64,30083.62,TIME_EXIT,6,-0.002,-0.02,2,0.4,2.4,-2.42,false
4,1694318400000,2023-09-10T04:00:00.000Z,2023,-7.3e-7,25832.82,25837.99,25719.14,26117.02,25805.01,25799.85,TIME_EXIT,6,-0.108,-1.08,2,0.4,2.4,-3.48,false
5,1695236400000,2023-09-20T19:00:00.000Z,2023,-0.00000991,26930.62,26936.01,26805.19,27244.19,27029.54,27024.13,TIME_EXIT,6,0.367,3.67,2,0.4,2.4,1.27,true
6,1695600000000,2023-09-25T00:00:00.000Z,2023,-0.0000126,26248.16,26253.41,26131.83,26538.98,26131.83,26126.61,STOP_LOSS,4,-0.42,-4.43,2,0.4,2.4,-6.83,false
7,1713492000000,2024-04-19T02:00:00.000Z,2024,-0.0000312,61359.57,61371.84,60685.06,63045.83,63045.83,63033.23,TAKE_PROFIT,4,5.345,27.48,2.03,0.41,2.44,25.04,true
8,1715007600000,2024-05-06T15:00:00.000Z,2024,-0.00001031,63632.01,63644.74,63115.17,64924.1,63115.17,63102.55,STOP_LOSS,1,-0.128,-8.12,1.99,0.4,2.39,-10.51,false
9,1724061600000,2024-08-19T10:00:00.000Z,2024,-0.0000675,58046.01,58057.62,57503.6,59402.04,58705.99,58694.25,TIME_EXIT,6,1.137,11.37,2.01,0.4,2.41,8.96,true
10,1725199200000,2024-09-01T14:00:00.000Z,2024,-0.00003432,57879.99,57891.57,57457.17,58937.04,58431.1,58419.41,TIME_EXIT,6,0.952,9.52,2.01,0.4,2.41,7.11,true
11,1740369600000,2025-02-24T04:00:00.000Z,2025,-0.0000297,95298,95317.06,94822.57,96486.58,95631.66,95612.53,TIME_EXIT,6,0.35,3.5,2,0.4,2.4,1.1,true
12,1743980400000,2025-04-06T23:00:00.000Z,2025,-0.00000603,78430,78445.69,77855.3,79866.75,77855.3,77839.73,STOP_LOSS,1,-1.896,-7.33,1.99,0.4,2.39,-9.72,false
13,1746410400000,2025-05-05T02:00:00.000Z,2025,-0.00002404,94236.66,94255.51,93752.32,95447.51,94559.19,94540.28,TIME_EXIT,6,0.342,3.42,2,0.4,2.4,1.02,true
14,1749776400000,2025-06-13T01:00:00.000Z,2025,-0.00001801,103773.65,103794.4,103288.54,104986.43,103288.54,103267.88,STOP_LOSS,1,1.081,-4.67,2,0.4,2.4,-7.07,false
15,1760605200000,2025-10-16T09:00:00.000Z,2025,-0.0000223,111146.31,111168.54,110327.25,113193.96,110327.25,110305.18,STOP_LOSS,5,-2.337,-7.37,1.99,0.4,2.39,-9.76,false
16,1760630400000,2025-10-16T16:00:00.000Z,2025,-0.00003004,109232.43,109254.28,108392.21,111332.99,108392.21,108370.53,STOP_LOSS,1,-1.312,-7.69,1.99,0.4,2.39,-10.08,false
17,1760695200000,2025-10-17T10:00:00.000Z,2025,-0.00000634,104751.99,104772.94,103873.36,106948.56,106948.56,106927.17,TAKE_PROFIT,6,1.547,20.97,2.02,0.4,2.42,18.55,true
18,1763992800000,2025-11-24T14:00:00.000Z,2025,-0.00000134,86171.22,86188.45,85291.77,88369.85,88369.85,88352.18,TAKE_PROFIT,3,3.386,25.51,2.03,0.41,2.44,23.07,true
19,1770336000000,2026-02-06T00:00:00.000Z,2026,-0.00001597,63509.4,63522.1,62731.88,65453.2,65453.2,65440.11,TAKE_PROFIT,1,2.329,30.61,2.03,0.41,2.44,28.17,true
20,1770732000000,2026-02-10T14:00:00.000Z,2026,-0.00004829,68460.4,68474.09,67529.79,70786.93,68753.7,68739.95,TIME_EXIT,6,0.428,4.28,2,0.4,2.4,1.88,true
21,1770822000000,2026-02-11T15:00:00.000Z,2026,-0.00008417,66519.72,66533.02,65591.27,68840.84,67811.17,67797.61,TIME_EXIT,6,1.941,19.41,2.02,0.4,2.42,16.99,true
22,1774620000000,2026-03-27T14:00:00.000Z,2026,-0.00006298,66205.07,66218.31,65676.93,67525.43,65676.93,65663.79,STOP_LOSS,3,-0.278,-7.98,1.99,0.4,2.39,-10.37,false
23,1776344400000,2026-04-16T13:00:00.000Z,2026,-0.00002841,73788.03,73802.79,73371.22,74830.05,74830.05,74815.08,TAKE_PROFIT,2,2.107,14.12,2.01,0.4,2.41,11.71,true
24,1777381200000,2026-04-28T13:00:00.000Z,2026,-0.00003204,76189.85,76205.09,75768.36,77243.57,75768.36,75753.21,STOP_LOSS,1,0.185,-5.53,1.99,0.4,2.39,-7.92,false
25,1778925600000,2026-05-16T10:00:00.000Z,2026,-0.0000021,77959.99,77975.58,77565.14,78947.11,78205.96,78190.32,TIME_EXIT,6,0.316,3.16,2,0.4,2.4,0.76,true
