trade_id,timestamp,timeframe,side,entry_price,stop_price,target_price,exit_price,exit_reason,holding_bars,gross_pnl,fees,slippage,net_pnl,r_multiple,is_tp_hit,is_sl_hit
1,1779976800000,15m,LONG,73329.28,73146.17,73735.75,73131.54,STOP_LOSS,1,-2.7,2,0.4,-4.7,-1.174,false,true
2,1780061400000,15m,LONG,73276.64,73089.52,73693.15,73074.91,STOP_LOSS,1,-2.75,2,0.4,-4.75,-1.17,false,true
3,1780068600000,15m,SHORT,73811.22,74014.28,73355.28,74029.08,STOP_LOSS,2,-2.95,2,0.4,-4.95,-1.157,false,true
4,1780115400000,15m,LONG,73324.66,73123.4,73776.49,73645.34,TIME_EXIT,8,4.37,2,0.4,2.37,1.719,false,false
5,1780151400000,15m,SHORT,73985.21,74166.75,73583.15,73972.32,TIME_EXIT,8,0.17,2,0.4,-1.83,0.077,false,false
6,1780190100000,15m,SHORT,74082.34,74251.98,73710.11,74229.6,TIME_EXIT,8,-1.99,2,0.4,-3.99,-0.951,false,false
7,1780268400000,15m,SHORT,73921.21,74083.87,73566.32,73581.03,TAKE_PROFIT,2,4.6,2,0.4,2.6,2.3,true,false
8,1780321500000,15m,LONG,71726.23,71568.47,72070.45,71554.15,STOP_LOSS,1,-2.4,2,0.4,-4.4,-1.2,false,true
9,1780383600000,15m,LONG,70064.39,69897.5,70432.57,69883.52,STOP_LOSS,1,-2.58,2,0.4,-4.58,-1.183,false,true
10,1780458300000,15m,LONG,65863.07,65625.79,66410.16,66396.88,TAKE_PROFIT,1,8.1,2,0.4,6.1,2.382,true,false
11,1780499700000,15m,LONG,66611.06,66342.98,67234.64,66329.71,STOP_LOSS,1,-4.22,2,0.4,-6.22,-1.104,false,true
12,1780502400000,15m,LONG,66186.2,65915.15,66817.52,65901.97,STOP_LOSS,1,-4.29,2,0.4,-6.29,-1.102,false,true
13,1780533000000,15m,LONG,63608.05,63306.39,64317.69,63293.72,STOP_LOSS,1,-4.94,2,0.4,-6.94,-1.088,false,true
14,1780538400000,15m,LONG,62414.61,62105.06,63144.82,63132.19,TAKE_PROFIT,2,11.5,2,0.4,9.5,2.415,true,false
15,1780668000000,15m,LONG,60877.62,60477.79,61834.61,60465.69,STOP_LOSS,1,-6.77,2,0.4,-8.77,-1.063,false,true
16,1780673400000,15m,LONG,60382.07,59972.65,61363.37,59960.66,STOP_LOSS,2,-6.98,2,0.4,-8.98,-1.061,false,true
17,1780809300000,15m,SHORT,61728.14,62113.86,60807.06,62126.28,STOP_LOSS,5,-6.45,2,0.4,-8.45,-1.066,false,true
18,1780870500000,15m,SHORT,62982.77,63332.75,62151.92,63345.42,STOP_LOSS,1,-5.76,2,0.4,-7.76,-1.075,false,true
19,1780918200000,15m,SHORT,63620.17,63953.4,62831.66,62844.23,TAKE_PROFIT,2,12.2,2,0.4,10.2,2.421,true,false
20,1781011800000,15m,LONG,62446.49,62184.18,63058.54,62171.75,STOP_LOSS,2,-4.4,2,0.4,-6.4,-1.1,false,true
21,1781016300000,15m,LONG,61554.26,61289.31,62173.54,61277.06,STOP_LOSS,3,-4.5,2,0.4,-6.5,-1.097,false,true
22,1781082900000,15m,LONG,61222.7,60954.9,61849.36,60942.71,STOP_LOSS,7,-4.57,2,0.4,-6.57,-1.096,false,true
23,1781094600000,15m,SHORT,61673.65,61942.4,61044.96,61954.79,STOP_LOSS,4,-4.56,2,0.4,-6.56,-1.096,false,true
24,1781148600000,15m,SHORT,62355.4,62616.56,61746.14,62629.08,STOP_LOSS,1,-4.39,2,0.4,-6.39,-1.101,false,true
25,1781620200000,15m,LONG,65702.73,65531.39,66085.08,65794.85,TIME_EXIT,8,1.4,2,0.4,-0.6,0.582,false,false
26,1781682300000,15m,LONG,65552.61,65368.96,65965.84,65355.89,STOP_LOSS,1,-3,2,0.4,-5,-1.154,false,true
27,1781758800000,15m,LONG,63934.04,63722.6,64417.9,64078.38,TIME_EXIT,8,2.26,2,0.4,0.26,0.727,false,false
28,1781838900000,15m,LONG,62860.97,62643.76,63359.99,62631.23,STOP_LOSS,1,-3.65,2,0.4,-5.65,-1.123,false,true
29,1782129600000,15m,SHORT,64743.06,64899.53,64397.21,64912.51,STOP_LOSS,1,-2.62,2,0.4,-4.62,-1.181,false,true
30,1782301500000,15m,SHORT,62908.61,63097.32,62480.87,62493.37,TAKE_PROFIT,5,6.6,2,0.4,4.6,2.358,true,false
31,1782310500000,15m,LONG,61244.24,61047.3,61693.72,61035.09,STOP_LOSS,2,-3.41,2,0.4,-5.41,-1.132,false,true
32,1782440100000,15m,LONG,58893.79,58646.48,59470.83,58634.75,STOP_LOSS,2,-4.4,2,0.4,-6.4,-1.1,false,true
33,1782598500000,15m,LONG,60146.02,59896.76,60727.06,60154.77,TIME_EXIT,8,0.15,2,0.4,-1.85,0.037,false,false
34,1782684900000,15m,LONG,59393,59191.72,59854.62,59179.88,STOP_LOSS,1,-3.59,2,0.4,-5.59,-1.125,false,true
35,1782824400000,15m,LONG,58469.79,58275.88,58913.65,58264.22,STOP_LOSS,2,-3.52,2,0.4,-5.52,-1.128,false,true
36,1782826200000,15m,LONG,58581.72,58386.48,59028.84,59017.04,TAKE_PROFIT,2,7.43,2,0.4,5.43,2.372,true,false
37,1782944100000,15m,SHORT,60542.95,60777.64,59998.61,60010.61,TAKE_PROFIT,6,8.79,2,0.4,6.79,2.392,true,false
38,1782985500000,15m,SHORT,61171.76,61397.91,60649.22,61370.28,TIME_EXIT,8,-3.25,2,0.4,-5.25,-0.928,false,false
39,1782995400000,15m,SHORT,61363.28,61591,60836.95,61603.32,STOP_LOSS,1,-3.91,2,0.4,-5.91,-1.114,false,true
40,1782998100000,15m,SHORT,61675.66,61904.65,61146.38,61917.03,STOP_LOSS,1,-3.91,2,0.4,-5.91,-1.114,false,true
41,1783290600000,15m,SHORT,63546.48,63689.85,63232.54,63702.59,STOP_LOSS,1,-2.46,2,0.4,-4.46,-1.195,false,true
42,1783344600000,15m,LONG,61658.19,61505.87,61995.83,61983.44,TAKE_PROFIT,1,5.27,2,0.4,3.27,2.323,true,false
43,1783434600000,15m,LONG,62950.58,62769.84,63358.35,63345.68,TAKE_PROFIT,1,6.28,2,0.4,4.28,2.35,true,false
44,1783438200000,15m,SHORT,63827.23,64013.31,63406.73,64026.11,STOP_LOSS,1,-3.12,2,0.4,-5.12,-1.148,false,true
45,1783477800000,15m,LONG,62984.59,62787.83,63432.42,62775.28,STOP_LOSS,5,-3.32,2,0.4,-5.32,-1.137,false,true
46,1783502100000,15m,LONG,61950.38,61745.93,62418.14,62108.96,TIME_EXIT,8,2.56,2,0.4,0.56,0.826,false,false
47,1783580400000,15m,SHORT,62930.69,63147.66,62432.32,63160.29,STOP_LOSS,3,-3.65,2,0.4,-5.65,-1.123,false,true
48,1783780200000,15m,SHORT,64406.9,64577.71,64024.94,64037.75,TAKE_PROFIT,4,5.73,2,0.4,3.73,2.337,true,false
49,1783816200000,15m,LONG,63808.77,63649.05,64163.42,64150.59,TAKE_PROFIT,4,5.36,2,0.4,3.36,2.326,true,false
50,1783901700000,15m,SHORT,64168.81,64310.01,63860.74,63873.51,TAKE_PROFIT,1,4.6,2,0.4,2.6,2.301,true,false
51,1783902600000,15m,LONG,63798.76,63658.43,64104.93,64092.11,TAKE_PROFIT,1,4.6,2,0.4,2.6,2.3,true,false
52,1783950300000,15m,LONG,62330.46,62193.36,62629.59,62180.93,INTRABAR_COLLISION_SL,2,-2.4,2,0.4,-4.4,-1.2,false,true
53,1784067300000,15m,SHORT,64917.01,65077.88,64560.31,64902.99,TIME_EXIT,8,0.22,2,0.4,-1.78,0.095,false,false
54,1784097000000,15m,SHORT,65024.99,65189.7,64658.74,64671.68,TAKE_PROFIT,3,5.43,2,0.4,3.43,2.329,true,false
55,1784121300000,15m,SHORT,65299.66,65470.01,64919.5,65483.1,STOP_LOSS,1,-2.81,2,0.4,-4.81,-1.166,false,true
56,1784187900000,15m,LONG,64250.85,64077.34,64639.65,64064.53,STOP_LOSS,1,-2.9,2,0.4,-4.9,-1.16,false,true
57,1784248200000,15m,LONG,63799.45,63625.34,64190.07,63612.61,STOP_LOSS,5,-2.93,2,0.4,-4.93,-1.158,false,true
58,1784394900000,15m,SHORT,64287.02,64436.13,63959.25,64449.02,STOP_LOSS,1,-2.52,2,0.4,-4.52,-1.189,false,true
59,1784426400000,15m,SHORT,64879.1,65021.86,64567.62,64656.99,TIME_EXIT,8,3.42,2,0.4,1.42,1.711,false,false
60,1784536200000,15m,LONG,63935.15,63794.53,64241.98,64229.13,TAKE_PROFIT,4,4.6,2,0.4,2.6,2.3,true,false
